Date,Exercise,Sets,Reps,Weight,Muscle Group
2019-10-30,Panca,5,5,86.64092664092664,Petto
2019-10-30,Panca inclinata,4,10,36.66023166023166,Petto
2019-10-30,Croci,4,12,12.49034749034749,Petto
2019-10-30,Military press,4,8,23.320463320463322,Spalle
2019-10-30,Alzate laterali,4,12,7.996138996138996,Spalle
2019-10-31,Stacco,5,5,109.96138996138995,Schiena
2019-10-31,Lat machine,4,10,59.98069498069498,Schiena
2019-10-31,Tirate orizzontali ai cavi,4,10,27.49034749034749,Schiena
2019-10-31,Pull down ai cavi,4,12,16.66023166023166,Tricipiti
2019-10-31,Curl con manubri,4,12,10.83011583011583,Bicipiti
2019-10-31,Curl su panca inclinata,4,12,8.83011583011583,Bicipiti
2019-11-01,Squat,5,5,98.3011583011583,Gambe
2019-11-01,Sissy squat,4,12,6.66023166023166,Gambe
2019-11-01,Leg extention,4,12,58.32046332046332,Gambe
2019-11-02,Panca,5,5,86.64092664092664,Petto
2019-11-02,Panca inclinata,4,10,36.66023166023166,Petto
2019-11-02,Croci,4,12,12.49034749034749,Petto
2019-11-02,Military press,4,8,23.320463320463322,Spalle
2019-11-02,Alzate laterali,4,12,7.996138996138996,Spalle
2019-11-03,Stacco,5,5,109.96138996138995,Schiena
2019-11-03,Lat machine,4,10,59.98069498069498,Schiena
2019-11-03,Tirate orizzontali ai cavi,4,10,27.49034749034749,Schiena
2019-11-03,Pull down ai cavi,4,12,16.66023166023166,Tricipiti
2019-11-03,Curl con manubri,4,12,10.83011583011583,Bicipiti
2019-11-03,Curl su panca inclinata,4,12,8.83011583011583,Bicipiti
2019-11-04,Squat,5,5,98.3011583011583,Gambe
2019-11-04,Sissy squat,4,12,6.66023166023166,Gambe
2019-11-04,Leg extention,4,12,58.32046332046332,Gambe
2019-11-05,Squat,5,5,98.4942084942085,Gambe
2019-11-05,Sissy squat,4,12,6.698841698841699,Gambe
2019-11-05,Leg extention,4,12,58.397683397683394,Gambe
2019-11-06,Panca,5,5,86.79536679536679,Petto
2019-11-06,Panca inclinata,4,10,36.6988416988417,Petto
2019-11-06,Croci,4,12,12.54826254826255,Petto
2019-11-06,Military press,4,8,23.397683397683398,Spalle
2019-11-06,Alzate laterali,4,12,8.019305019305019,Spalle
2019-11-07,Stacco,5,5,110.1930501930502,Schiena
2019-11-07,Lat machine,4,10,60.0965250965251,Schiena
2019-11-07,Tirate orizzontali ai cavi,4,10,27.54826254826255,Schiena
2019-11-07,Pull down ai cavi,4,12,16.698841698841697,Tricipiti
2019-11-07,Curl con manubri,4,12,10.849420849420849,Bicipiti
2019-11-07,Curl su panca inclinata,4,12,8.849420849420849,Bicipiti
2019-11-08,Squat,5,5,98.4942084942085,Gambe
2019-11-08,Sissy squat,4,12,6.698841698841699,Gambe
2019-11-08,Leg extention,4,12,58.397683397683394,Gambe
2019-11-09,Panca,5,5,86.79536679536679,Petto
2019-11-09,Panca inclinata,4,10,36.6988416988417,Petto
2019-11-09,Croci,4,12,12.54826254826255,Petto
2019-11-09,Military press,4,8,23.397683397683398,Spalle
2019-11-09,Alzate laterali,4,12,8.019305019305019,Spalle
2019-11-10,Stacco,5,5,110.1930501930502,Schiena
2019-11-10,Lat machine,4,10,60.0965250965251,Schiena
2019-11-10,Tirate orizzontali ai cavi,4,10,27.54826254826255,Schiena
2019-11-10,Pull down ai cavi,4,12,16.698841698841697,Tricipiti
2019-11-10,Curl con manubri,4,12,10.849420849420849,Bicipiti
2019-11-10,Curl su panca inclinata,4,12,8.849420849420849,Bicipiti
2019-11-12,Squat,5,5,98.68725868725869,Gambe
2019-11-12,Sissy squat,4,12,6.737451737451737,Gambe
2019-11-12,Leg extention,4,12,58.47490347490348,Gambe
2019-11-14,Stacco,5,5,110.42471042471043,Schiena
2019-11-14,Lat machine,4,10,60.21235521235521,Schiena
2019-11-14,Tirate orizzontali ai cavi,4,10,27.606177606177607,Schiena
2019-11-14,Pull down ai cavi,4,12,16.73745173745174,Tricipiti
2019-11-14,Curl con manubri,4,12,10.86872586872587,Bicipiti
2019-11-14,Curl su panca inclinata,4,12,8.86872586872587,Bicipiti
2019-11-15,Squat,5,5,98.68725868725869,Gambe
2019-11-15,Sissy squat,4,12,6.737451737451737,Gambe
2019-11-15,Leg extention,4,12,58.47490347490348,Gambe
2019-11-16,Panca,5,5,86.94980694980696,Petto
2019-11-16,Panca inclinata,4,10,36.737451737451735,Petto
2019-11-16,Croci,4,12,12.606177606177607,Petto
2019-11-16,Military press,4,8,23.474903474903474,Spalle
2019-11-16,Alzate laterali,4,12,8.042471042471043,Spalle
2019-11-17,Stacco,5,5,110.42471042471043,Schiena
2019-11-17,Lat machine,4,10,60.21235521235521,Schiena
2019-11-17,Tirate orizzontali ai cavi,4,10,27.606177606177607,Schiena
2019-11-17,Pull down ai cavi,4,12,16.73745173745174,Tricipiti
2019-11-17,Curl con manubri,4,12,10.86872586872587,Bicipiti
2019-11-17,Curl su panca inclinata,4,12,8.86872586872587,Bicipiti
2019-11-18,Squat,5,5,98.68725868725869,Gambe
2019-11-18,Sissy squat,4,12,6.737451737451737,Gambe
2019-11-18,Leg extention,4,12,58.47490347490348,Gambe
2019-11-20,Panca,5,5,87.10424710424711,Petto
2019-11-20,Panca inclinata,4,10,36.77606177606177,Petto
2019-11-20,Croci,4,12,12.664092664092664,Petto
2019-11-20,Military press,4,8,23.552123552123554,Spalle
2019-11-20,Alzate laterali,4,12,8.065637065637066,Spalle
2019-11-21,Stacco,5,5,110.65637065637065,Schiena
2019-11-21,Lat machine,4,10,60.32818532818533,Schiena
2019-11-21,Tirate orizzontali ai cavi,4,10,27.664092664092664,Schiena
2019-11-21,Pull down ai cavi,4,12,16.776061776061777,Tricipiti
2019-11-21,Curl con manubri,4,12,10.888030888030888,Bicipiti
2019-11-21,Curl su panca inclinata,4,12,8.888030888030888,Bicipiti
2019-11-22,Squat,5,5,98.88030888030889,Gambe
2019-11-22,Sissy squat,4,12,6.776061776061776,Gambe
2019-11-22,Leg extention,4,12,58.552123552123554,Gambe
2019-11-23,Panca,5,5,87.10424710424711,Petto
2019-11-23,Panca inclinata,4,10,36.77606177606177,Petto
2019-11-23,Croci,4,12,12.664092664092664,Petto
2019-11-23,Military press,4,8,23.552123552123554,Spalle
2019-11-23,Alzate laterali,4,12,8.065637065637066,Spalle
2019-11-24,Stacco,5,5,110.65637065637065,Schiena
2019-11-24,Lat machine,4,10,60.32818532818533,Schiena
2019-11-24,Tirate orizzontali ai cavi,4,10,27.664092664092664,Schiena
2019-11-24,Pull down ai cavi,4,12,16.776061776061777,Tricipiti
2019-11-24,Curl con manubri,4,12,10.888030888030888,Bicipiti
2019-11-24,Curl su panca inclinata,4,12,8.888030888030888,Bicipiti
2019-11-25,Squat,5,5,98.88030888030889,Gambe
2019-11-25,Sissy squat,4,12,6.776061776061776,Gambe
2019-11-25,Leg extention,4,12,58.552123552123554,Gambe
2019-11-26,Squat,5,5,99.07335907335907,Gambe
2019-11-26,Sissy squat,4,12,6.814671814671815,Gambe
2019-11-26,Leg extention,4,12,58.62934362934363,Gambe
2019-11-28,Stacco,5,5,110.88803088803088,Schiena
2019-11-28,Lat machine,4,10,60.44401544401544,Schiena
2019-11-28,Tirate orizzontali ai cavi,4,10,27.72200772200772,Schiena
2019-11-28,Pull down ai cavi,4,12,16.814671814671815,Tricipiti
2019-11-28,Curl con manubri,4,12,10.907335907335908,Bicipiti
2019-11-28,Curl su panca inclinata,4,12,8.907335907335908,Bicipiti
2019-11-29,Squat,5,5,99.07335907335907,Gambe
2019-11-29,Sissy squat,4,12,6.814671814671815,Gambe
2019-11-29,Leg extention,4,12,58.62934362934363,Gambe
2019-11-30,Panca,5,5,87.25868725868726,Petto
2019-11-30,Panca inclinata,4,10,36.81467181467181,Petto
2019-11-30,Croci,4,12,12.722007722007723,Petto
2019-11-30,Military press,4,8,23.62934362934363,Spalle
2019-11-30,Alzate laterali,4,12,8.08880308880309,Spalle
2019-12-01,Stacco,5,5,110.88803088803088,Schiena
2019-12-01,Lat machine,4,10,60.44401544401544,Schiena
2019-12-01,Tirate orizzontali ai cavi,4,10,27.72200772200772,Schiena
2019-12-01,Pull down ai cavi,4,12,16.814671814671815,Tricipiti
2019-12-01,Curl con manubri,4,12,10.907335907335908,Bicipiti
2019-12-01,Curl su panca inclinata,4,12,8.907335907335908,Bicipiti
2019-12-02,Squat,5,5,99.07335907335907,Gambe
2019-12-02,Sissy squat,4,12,6.814671814671815,Gambe
2019-12-02,Leg extention,4,12,58.62934362934363,Gambe
2019-12-03,Squat,5,5,94.3030888030888,Gambe
2019-12-03,Sissy squat,4,12,6.51061776061776,Gambe
2019-12-03,Leg extention,4,12,55.77123552123552,Gambe
2019-12-04,Panca,5,5,83.04247104247104,Petto
2019-12-04,Panca inclinata,4,10,35.01061776061776,Petto
2019-12-04,Croci,4,12,12.14092664092664,Petto
2019-12-04,Military press,4,8,22.52123552123552,Spalle
2019-12-04,Alzate laterali,4,12,7.706370656370655,Spalle
2019-12-06,Squat,5,5,94.3030888030888,Gambe
2019-12-06,Sissy squat,4,12,6.51061776061776,Gambe
2019-12-06,Leg extention,4,12,55.77123552123552,Gambe
2019-12-07,Panca,5,5,83.04247104247104,Petto
2019-12-07,Panca inclinata,4,10,35.01061776061776,Petto
2019-12-07,Croci,4,12,12.14092664092664,Petto
2019-12-07,Military press,4,8,22.52123552123552,Spalle
2019-12-07,Alzate laterali,4,12,7.706370656370655,Spalle
2019-12-08,Stacco,5,5,105.56370656370656,Schiena
2019-12-08,Lat machine,4,10,57.53185328185328,Schiena
2019-12-08,Tirate orizzontali ai cavi,4,10,26.39092664092664,Schiena
2019-12-08,Pull down ai cavi,4,12,16.01061776061776,Tricipiti
2019-12-08,Curl con manubri,4,12,10.38030888030888,Bicipiti
2019-12-08,Curl su panca inclinata,4,12,8.480308880308879,Bicipiti
2019-12-09,Squat,5,5,94.3030888030888,Gambe
2019-12-09,Sissy squat,4,12,6.51061776061776,Gambe
2019-12-09,Leg extention,4,12,55.77123552123552,Gambe
2019-12-10,Squat,5,5,94.48648648648647,Gambe
2019-12-10,Sissy squat,4,12,6.547297297297297,Gambe
2019-12-10,Leg extention,4,12,55.84459459459459,Gambe
2019-12-12,Stacco,5,5,105.78378378378378,Schiena
2019-12-12,Lat machine,4,10,57.64189189189189,Schiena
2019-12-12,Tirate orizzontali ai cavi,4,10,26.445945945945944,Schiena
2019-12-12,Pull down ai cavi,4,12,16.047297297297295,Tricipiti
2019-12-12,Curl con manubri,4,12,10.398648648648647,Bicipiti
2019-12-12,Curl su panca inclinata,4,12,8.498648648648649,Bicipiti
2019-12-13,Squat,5,5,94.48648648648647,Gambe
2019-12-13,Sissy squat,4,12,6.547297297297297,Gambe
2019-12-13,Leg extention,4,12,55.84459459459459,Gambe
2019-12-14,Panca,5,5,83.18918918918918,Petto
2019-12-14,Panca inclinata,4,10,35.0472972972973,Petto
2019-12-14,Croci,4,12,12.195945945945946,Petto
2019-12-14,Military press,4,8,22.594594594594593,Spalle
2019-12-14,Alzate laterali,4,12,7.728378378378378,Spalle
2019-12-15,Stacco,5,5,105.78378378378378,Schiena
2019-12-15,Lat machine,4,10,57.64189189189189,Schiena
2019-12-15,Tirate orizzontali ai cavi,4,10,26.445945945945944,Schiena
2019-12-15,Pull down ai cavi,4,12,16.047297297297295,Tricipiti
2019-12-15,Curl con manubri,4,12,10.398648648648647,Bicipiti
2019-12-15,Curl su panca inclinata,4,12,8.498648648648649,Bicipiti
2019-12-16,Squat,5,5,94.48648648648647,Gambe
2019-12-16,Sissy squat,4,12,6.547297297297297,Gambe
2019-12-16,Leg extention,4,12,55.84459459459459,Gambe
2019-12-17,Squat,5,5,94.66988416988416,Gambe
2019-12-17,Sissy squat,4,12,6.583976833976833,Gambe
2019-12-17,Leg extention,4,12,55.91795366795366,Gambe
2019-12-18,Panca,5,5,83.33590733590732,Petto
2019-12-18,Panca inclinata,4,10,35.083976833976834,Petto
2019-12-18,Croci,4,12,12.250965250965251,Petto
2019-12-18,Military press,4,8,22.667953667953668,Spalle
2019-12-18,Alzate laterali,4,12,7.7503861003861,Spalle
2019-12-19,Stacco,5,5,106.003861003861,Schiena
2019-12-19,Lat machine,4,10,57.7519305019305,Schiena
2019-12-19,Tirate orizzontali ai cavi,4,10,26.50096525096525,Schiena
2019-12-19,Pull down ai cavi,4,12,16.08397683397683,Tricipiti
2019-12-19,Curl con manubri,4,12,10.416988416988415,Bicipiti
2019-12-19,Curl su panca inclinata,4,12,8.516988416988417,Bicipiti
2019-12-20,Squat,5,5,94.66988416988416,Gambe
2019-12-20,Sissy squat,4,12,6.583976833976833,Gambe
2019-12-20,Leg extention,4,12,55.91795366795366,Gambe
2019-12-22,Stacco,5,5,106.003861003861,Schiena
2019-12-22,Lat machine,4,10,57.7519305019305,Schiena
2019-12-22,Tirate orizzontali ai cavi,4,10,26.50096525096525,Schiena
2019-12-22,Pull down ai cavi,4,12,16.08397683397683,Tricipiti
2019-12-22,Curl con manubri,4,12,10.416988416988415,Bicipiti
2019-12-22,Curl su panca inclinata,4,12,8.516988416988417,Bicipiti
2019-12-23,Squat,5,5,94.66988416988416,Gambe
2019-12-23,Sissy squat,4,12,6.583976833976833,Gambe
2019-12-23,Leg extention,4,12,55.91795366795366,Gambe
2019-12-24,Squat,5,5,94.85328185328186,Gambe
2019-12-24,Sissy squat,4,12,6.620656370656371,Gambe
2019-12-24,Leg extention,4,12,55.99131274131274,Gambe
2019-12-25,Panca,5,5,83.48262548262548,Petto
2019-12-25,Panca inclinata,4,10,35.12065637065637,Petto
2019-12-25,Croci,4,12,12.305984555984555,Petto
2019-12-25,Military press,4,8,22.74131274131274,Spalle
2019-12-25,Alzate laterali,4,12,7.772393822393821,Spalle
2019-12-27,Squat,5,5,94.85328185328186,Gambe
2019-12-27,Sissy squat,4,12,6.620656370656371,Gambe
2019-12-27,Leg extention,4,12,55.99131274131274,Gambe
2019-12-28,Panca,5,5,83.48262548262548,Petto
2019-12-28,Panca inclinata,4,10,35.12065637065637,Petto
2019-12-28,Croci,4,12,12.305984555984555,Petto
2019-12-28,Military press,4,8,22.74131274131274,Spalle
2019-12-28,Alzate laterali,4,12,7.772393822393821,Spalle
2019-12-29,Stacco,5,5,106.22393822393822,Schiena
2019-12-29,Lat machine,4,10,57.86196911196911,Schiena
2019-12-29,Tirate orizzontali ai cavi,4,10,26.555984555984555,Schiena
2019-12-29,Pull down ai cavi,4,12,16.12065637065637,Tricipiti
2019-12-29,Curl con manubri,4,12,10.435328185328185,Bicipiti
2019-12-29,Curl su panca inclinata,4,12,8.535328185328186,Bicipiti
2019-12-30,Squat,5,5,94.85328185328186,Gambe
2019-12-30,Sissy squat,4,12,6.620656370656371,Gambe
2019-12-30,Leg extention,4,12,55.99131274131274,Gambe
2019-12-31,Squat,5,5,100.03861003861005,Gambe
2019-12-31,Sissy squat,4,12,7.007722007722007,Gambe
2019-12-31,Leg extention,4,12,59.01544401544402,Gambe
2020-01-01,Panca,5,5,88.03088803088804,Petto
2020-01-01,Panca inclinata,4,10,37.00772200772201,Petto
2020-01-01,Croci,4,12,13.011583011583012,Petto
2020-01-01,Military press,4,8,24.015444015444015,Spalle
2020-01-01,Alzate laterali,4,12,8.204633204633204,Spalle
2020-01-02,Stacco,5,5,112.04633204633205,Schiena
2020-01-02,Lat machine,4,10,61.02316602316603,Schiena
2020-01-02,Tirate orizzontali ai cavi,4,10,28.011583011583014,Schiena
2020-01-02,Pull down ai cavi,4,12,17.00772200772201,Tricipiti
2020-01-02,Curl con manubri,4,12,11.003861003861005,Bicipiti
2020-01-02,Curl su panca inclinata,4,12,9.003861003861005,Bicipiti
2020-01-04,Panca,5,5,88.03088803088804,Petto
2020-01-04,Panca inclinata,4,10,37.00772200772201,Petto
2020-01-04,Croci,4,12,13.011583011583012,Petto
2020-01-04,Military press,4,8,24.015444015444015,Spalle
2020-01-04,Alzate laterali,4,12,8.204633204633204,Spalle
2020-01-05,Stacco,5,5,112.04633204633205,Schiena
2020-01-05,Lat machine,4,10,61.02316602316603,Schiena
2020-01-05,Tirate orizzontali ai cavi,4,10,28.011583011583014,Schiena
2020-01-05,Pull down ai cavi,4,12,17.00772200772201,Tricipiti
2020-01-05,Curl con manubri,4,12,11.003861003861005,Bicipiti
2020-01-05,Curl su panca inclinata,4,12,9.003861003861005,Bicipiti
2020-01-06,Squat,5,5,100.03861003861005,Gambe
2020-01-06,Sissy squat,4,12,7.007722007722007,Gambe
2020-01-06,Leg extention,4,12,59.01544401544402,Gambe
2020-01-07,Squat,5,5,100.23166023166023,Gambe
2020-01-07,Sissy squat,4,12,7.046332046332046,Gambe
2020-01-07,Leg extention,4,12,59.092664092664094,Gambe
2020-01-08,Panca,5,5,88.18532818532819,Petto
2020-01-08,Panca inclinata,4,10,37.04633204633205,Petto
2020-01-08,Croci,4,12,13.06949806949807,Petto
2020-01-08,Military press,4,8,24.092664092664094,Spalle
2020-01-08,Alzate laterali,4,12,8.227799227799228,Spalle
2020-01-09,Stacco,5,5,112.27799227799228,Schiena
2020-01-09,Lat machine,4,10,61.13899613899614,Schiena
2020-01-09,Tirate orizzontali ai cavi,4,10,28.06949806949807,Schiena
2020-01-09,Pull down ai cavi,4,12,17.046332046332047,Tricipiti
2020-01-09,Curl con manubri,4,12,11.023166023166024,Bicipiti
2020-01-09,Curl su panca inclinata,4,12,9.023166023166024,Bicipiti
2020-01-10,Squat,5,5,100.23166023166023,Gambe
2020-01-10,Sissy squat,4,12,7.046332046332046,Gambe
2020-01-10,Leg extention,4,12,59.092664092664094,Gambe
2020-01-11,Panca,5,5,88.18532818532819,Petto
2020-01-11,Panca inclinata,4,10,37.04633204633205,Petto
2020-01-11,Croci,4,12,13.06949806949807,Petto
2020-01-11,Military press,4,8,24.092664092664094,Spalle
2020-01-11,Alzate laterali,4,12,8.227799227799228,Spalle
2020-01-12,Stacco,5,5,112.27799227799228,Schiena
2020-01-12,Lat machine,4,10,61.13899613899614,Schiena
2020-01-12,Tirate orizzontali ai cavi,4,10,28.06949806949807,Schiena
2020-01-12,Pull down ai cavi,4,12,17.046332046332047,Tricipiti
2020-01-12,Curl con manubri,4,12,11.023166023166024,Bicipiti
2020-01-12,Curl su panca inclinata,4,12,9.023166023166024,Bicipiti
2020-01-14,Squat,5,5,100.42471042471043,Gambe
2020-01-14,Sissy squat,4,12,7.084942084942085,Gambe
2020-01-14,Leg extention,4,12,59.16988416988417,Gambe
2020-01-16,Stacco,5,5,112.50965250965251,Schiena
2020-01-16,Lat machine,4,10,61.254826254826256,Schiena
2020-01-16,Tirate orizzontali ai cavi,4,10,28.127413127413128,Schiena
2020-01-16,Pull down ai cavi,4,12,17.084942084942085,Tricipiti
2020-01-16,Curl con manubri,4,12,11.042471042471043,Bicipiti
2020-01-16,Curl su panca inclinata,4,12,9.042471042471043,Bicipiti
2020-01-17,Squat,5,5,100.42471042471043,Gambe
2020-01-17,Sissy squat,4,12,7.084942084942085,Gambe
2020-01-17,Leg extention,4,12,59.16988416988417,Gambe
2020-01-18,Panca,5,5,88.33976833976834,Petto
2020-01-18,Panca inclinata,4,10,37.084942084942085,Petto
2020-01-18,Croci,4,12,13.127413127413128,Petto
2020-01-18,Military press,4,8,24.16988416988417,Spalle
2020-01-18,Alzate laterali,4,12,8.250965250965251,Spalle
2020-01-19,Stacco,5,5,112.50965250965251,Schiena
2020-01-19,Lat machine,4,10,61.254826254826256,Schiena
2020-01-19,Tirate orizzontali ai cavi,4,10,28.127413127413128,Schiena
2020-01-19,Pull down ai cavi,4,12,17.084942084942085,Tricipiti
2020-01-19,Curl con manubri,4,12,11.042471042471043,Bicipiti
2020-01-19,Curl su panca inclinata,4,12,9.042471042471043,Bicipiti
2020-01-20,Squat,5,5,100.42471042471043,Gambe
2020-01-20,Sissy squat,4,12,7.084942084942085,Gambe
2020-01-20,Leg extention,4,12,59.16988416988417,Gambe
2020-01-21,Squat,5,5,100.61776061776062,Gambe
2020-01-21,Sissy squat,4,12,7.123552123552123,Gambe
2020-01-21,Leg extention,4,12,59.24710424710425,Gambe
2020-01-22,Panca,5,5,88.4942084942085,Petto
2020-01-22,Panca inclinata,4,10,37.12355212355212,Petto
2020-01-22,Croci,4,12,13.185328185328185,Petto
2020-01-22,Military press,4,8,24.247104247104247,Spalle
2020-01-22,Alzate laterali,4,12,8.274131274131275,Spalle
2020-01-23,Stacco,5,5,112.74131274131274,Schiena
2020-01-23,Lat machine,4,10,61.37065637065637,Schiena
2020-01-23,Tirate orizzontali ai cavi,4,10,28.185328185328185,Schiena
2020-01-23,Pull down ai cavi,4,12,17.123552123552123,Tricipiti
2020-01-23,Curl con manubri,4,12,11.061776061776062,Bicipiti
2020-01-23,Curl su panca inclinata,4,12,9.061776061776062,Bicipiti
2020-01-24,Squat,5,5,100.61776061776062,Gambe
2020-01-24,Sissy squat,4,12,7.123552123552123,Gambe
2020-01-24,Leg extention,4,12,59.24710424710425,Gambe
2020-01-26,Stacco,5,5,112.74131274131274,Schiena
2020-01-26,Lat machine,4,10,61.37065637065637,Schiena
2020-01-26,Tirate orizzontali ai cavi,4,10,28.185328185328185,Schiena
2020-01-26,Pull down ai cavi,4,12,17.123552123552123,Tricipiti
2020-01-26,Curl con manubri,4,12,11.061776061776062,Bicipiti
2020-01-26,Curl su panca inclinata,4,12,9.061776061776062,Bicipiti
2020-01-27,Squat,5,5,100.61776061776062,Gambe
2020-01-27,Sissy squat,4,12,7.123552123552123,Gambe
2020-01-27,Leg extention,4,12,59.24710424710425,Gambe
2020-01-29,Panca,5,5,88.64864864864865,Petto
2020-01-29,Panca inclinata,4,10,37.16216216216216,Petto
2020-01-29,Croci,4,12,13.243243243243244,Petto
2020-01-29,Military press,4,8,24.324324324324323,Spalle
2020-01-29,Alzate laterali,4,12,8.297297297297296,Spalle
2020-01-30,Stacco,5,5,112.97297297297297,Schiena
2020-01-30,Lat machine,4,10,61.486486486486484,Schiena
2020-01-30,Tirate orizzontali ai cavi,4,10,28.243243243243242,Schiena
2020-01-30,Pull down ai cavi,4,12,17.16216216216216,Tricipiti
2020-01-30,Curl con manubri,4,12,11.08108108108108,Bicipiti
2020-01-30,Curl su panca inclinata,4,12,9.08108108108108,Bicipiti
2020-01-31,Squat,5,5,100.8108108108108,Gambe
2020-01-31,Sissy squat,4,12,7.162162162162162,Gambe
2020-01-31,Leg extention,4,12,59.32432432432432,Gambe
2020-02-01,Panca,5,5,88.64864864864865,Petto
2020-02-01,Panca inclinata,4,10,37.16216216216216,Petto
2020-02-01,Croci,4,12,13.243243243243244,Petto
2020-02-01,Military press,4,8,24.324324324324323,Spalle
2020-02-01,Alzate laterali,4,12,8.297297297297296,Spalle
2020-02-02,Stacco,5,5,112.97297297297297,Schiena
2020-02-02,Lat machine,4,10,61.486486486486484,Schiena
2020-02-02,Tirate orizzontali ai cavi,4,10,28.243243243243242,Schiena
2020-02-02,Pull down ai cavi,4,12,17.16216216216216,Tricipiti
2020-02-02,Curl con manubri,4,12,11.08108108108108,Bicipiti
2020-02-02,Curl su panca inclinata,4,12,9.08108108108108,Bicipiti
2020-02-03,Squat,5,5,100.8108108108108,Gambe
2020-02-03,Sissy squat,4,12,7.162162162162162,Gambe
2020-02-03,Leg extention,4,12,59.32432432432432,Gambe
2020-02-04,Squat,5,5,101.003861003861,Gambe
2020-02-04,Sissy squat,4,12,7.200772200772201,Gambe
2020-02-04,Leg extention,4,12,59.4015444015444,Gambe
2020-02-06,Stacco,5,5,113.20463320463321,Schiena
2020-02-06,Lat machine,4,10,61.602316602316606,Schiena
2020-02-06,Tirate orizzontali ai cavi,4,10,28.301158301158303,Schiena
2020-02-06,Pull down ai cavi,4,12,17.2007722007722,Tricipiti
2020-02-06,Curl con manubri,4,12,11.1003861003861,Bicipiti
2020-02-06,Curl su panca inclinata,4,12,9.1003861003861,Bicipiti
2020-02-07,Squat,5,5,101.003861003861,Gambe
2020-02-07,Sissy squat,4,12,7.200772200772201,Gambe
2020-02-07,Leg extention,4,12,59.4015444015444,Gambe
2020-02-08,Panca,5,5,88.8030888030888,Petto
2020-02-08,Panca inclinata,4,10,37.2007722007722,Petto
2020-02-08,Croci,4,12,13.301158301158301,Petto
2020-02-08,Military press,4,8,24.401544401544403,Spalle
2020-02-08,Alzate laterali,4,12,8.32046332046332,Spalle
2020-02-09,Stacco,5,5,113.20463320463321,Schiena
2020-02-09,Lat machine,4,10,61.602316602316606,Schiena
2020-02-09,Tirate orizzontali ai cavi,4,10,28.301158301158303,Schiena
2020-02-09,Pull down ai cavi,4,12,17.2007722007722,Tricipiti
2020-02-09,Curl con manubri,4,12,11.1003861003861,Bicipiti
2020-02-09,Curl su panca inclinata,4,12,9.1003861003861,Bicipiti
2020-02-10,Squat,5,5,101.003861003861,Gambe
2020-02-10,Sissy squat,4,12,7.200772200772201,Gambe
2020-02-10,Leg extention,4,12,59.4015444015444,Gambe
2020-02-11,Squat,5,5,101.1969111969112,Gambe
2020-02-11,Sissy squat,4,12,7.239382239382239,Gambe
2020-02-11,Leg extention,4,12,59.478764478764475,Gambe
2020-02-12,Panca,5,5,88.95752895752895,Petto
2020-02-12,Panca inclinata,4,10,37.23938223938224,Petto
2020-02-12,Croci,4,12,13.35907335907336,Petto
2020-02-12,Military press,4,8,24.47876447876448,Spalle
2020-02-12,Alzate laterali,4,12,8.343629343629344,Spalle
2020-02-14,Squat,5,5,101.1969111969112,Gambe
2020-02-14,Sissy squat,4,12,7.239382239382239,Gambe
2020-02-14,Leg extention,4,12,59.478764478764475,Gambe
2020-02-15,Panca,5,5,88.95752895752895,Petto
2020-02-15,Panca inclinata,4,10,37.23938223938224,Petto
2020-02-15,Croci,4,12,13.35907335907336,Petto
2020-02-15,Military press,4,8,24.47876447876448,Spalle
2020-02-15,Alzate laterali,4,12,8.343629343629344,Spalle
2020-02-16,Stacco,5,5,113.43629343629344,Schiena
2020-02-16,Lat machine,4,10,61.71814671814672,Schiena
2020-02-16,Tirate orizzontali ai cavi,4,10,28.35907335907336,Schiena
2020-02-16,Pull down ai cavi,4,12,17.239382239382238,Tricipiti
2020-02-16,Curl con manubri,4,12,11.119691119691119,Bicipiti
2020-02-16,Curl su panca inclinata,4,12,9.119691119691119,Bicipiti
2020-02-17,Squat,5,5,101.1969111969112,Gambe
2020-02-17,Sissy squat,4,12,7.239382239382239,Gambe
2020-02-17,Leg extention,4,12,59.478764478764475,Gambe
2020-02-18,Squat,5,5,101.38996138996139,Gambe
2020-02-18,Sissy squat,4,12,7.277992277992277,Gambe
2020-02-18,Leg extention,4,12,59.55598455598456,Gambe
2020-02-19,Panca,5,5,89.11196911196912,Petto
2020-02-19,Panca inclinata,4,10,37.277992277992276,Petto
2020-02-19,Croci,4,12,13.416988416988417,Petto
2020-02-19,Military press,4,8,24.555984555984555,Spalle
2020-02-19,Alzate laterali,4,12,8.366795366795367,Spalle
2020-02-20,Stacco,5,5,113.66795366795367,Schiena
2020-02-20,Lat machine,4,10,61.833976833976834,Schiena
2020-02-20,Tirate orizzontali ai cavi,4,10,28.416988416988417,Schiena
2020-02-20,Pull down ai cavi,4,12,17.27799227799228,Tricipiti
2020-02-20,Curl con manubri,4,12,11.13899613899614,Bicipiti
2020-02-20,Curl su panca inclinata,4,12,9.13899613899614,Bicipiti
2020-02-22,Panca,5,5,89.11196911196912,Petto
2020-02-22,Panca inclinata,4,10,37.277992277992276,Petto
2020-02-22,Croci,4,12,13.416988416988417,Petto
2020-02-22,Military press,4,8,24.555984555984555,Spalle
2020-02-22,Alzate laterali,4,12,8.366795366795367,Spalle
2020-02-23,Stacco,5,5,113.66795366795367,Schiena
2020-02-23,Lat machine,4,10,61.833976833976834,Schiena
